"Size","TreeSet","HashSet","LinkedHashSet","Vector","PriorityQueue","ArrayList","LinkedList"
"10","38200","11400","3800","5805000","30800","13154500","15600"
"50","11500","4500","2700","6556900","6700","5270400","8900"
"100","10000","4300","2100","4629200","10200","5006800","9600"
"500","8600","4800","2900","5222500","12300","9035800","19500"
"1000","13200","5100","2900","5978200","14400","5240100","61400"
"5000","15100","6200","7100","9576600","79200","6097200","1268200"
"10000","21300","5900","5700","5075100","72800","17534500","2057000"
"50000","35400","9800","12900","5832300","236300","10338400","4615600"
"100000","28400","13500","14300","5247300","550200","5680400","3694700"
"500000","32500","13300","14600","8478600","2511100","10622400","3358100"
"1000000","36300","13600","15100","11059700","2806800","9222600","4662700"
