"Size","TreeSet","HashSet","LinkedHashSet","Vector","PriorityQueue","ArrayList","LinkedList"
"10","207990700","64139200","54300200","129783200","51707100","56062800","97579500"
"50","18490100","32768000","16906000","114997600","49273700","41965300","88643800"
"100","34405100","26470500","25198400","113528300","58903800","50563500","79816600"
"500","24926800","28129700","18993000","118788400","56043200","60000100","79044600"
"1000","32409000","31377600","18567800","115047400","63343700","59585200","76070000"
"5000","32444200","33032300","34213500","117326000","47550200","61376200","81463200"
"10000","26011400","27816400","18619500","122054800","57698200","57013900","73015400"
"50000","28262000","28458800","15571900","116761200","58207900","64152600","69167300"
"100000","25450500","24854200","24860200","116435700","52071300","55011000","87776700"
"500000","22221600","29061900","27184500","134105100","84849100","85376700","185331800"
"1000000","48323000","59975200","43660500","233277000","176695800","119637600","306556800"
